8784029.00000,   -0.00465, -0.08621,   1.50055, 0.27095, 1.64049,  -0.20097,      0.00762, 0.10569,   0.24910, 0.72650, 1.22772,  -0.09765,       16.93118, 60.00000, 0.18848,           0.15105, 0.77170,   20.94691,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8794029.00000,   -0.00511, -0.02142,   1.02859, 0.16340, 1.67239,  -0.05450,      0.00868, 0.10847,   0.33856, 0.69136, 1.26905,  0.02812,        16.73366, 60.00000, 0.18609,           0.15870, 0.68796,   21.35783,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8804001.00000,   -0.00580, -0.09242,   0.56122, 0.13273, 1.69719,  -0.13965,      0.00997, 0.18991,   -0.34272, 0.70974, 1.50039,  0.07226,       16.57815, 60.00000, 0.18468,           0.16377, 0.51214,   22.31578,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8814001.00000,   -0.00663, -0.04519,   1.63306, 0.04960, 1.77659,  -0.30058,      0.01130, 0.09966,   0.03477, 0.74849, 1.61148,  -0.03476,       16.45798, 60.00000, 0.16872,           0.16742, 0.53597,   22.15830,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8824002.00000,   -0.00664, 0.03174,   1.80414, -0.15907, 1.51557,  -0.12244,      0.01203, 0.03740,   -0.02344, 0.72557, -0.97988,  -0.02566,     16.44428, 60.00000, 0.16127,           0.17386, 0.81001,   20.54646,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8834002.00000,   -0.00661, 0.00296,   0.38646, -0.17976, 1.69260,  -0.05797,      0.01259, -0.01856,   0.27642, 0.72372, 1.10915,  0.05182,       16.35922, 60.00000, 0.17652,           0.18081, 0.74081,   20.87491,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8844087.00000,   -0.00720, -0.07426,   1.28501, -0.21640, 1.85944,  -0.21659,     0.01350, 0.12255,   0.00321, 0.73298, 1.52260,  0.02676,        16.33137, 60.00000, 0.16656,           0.18591, 0.75016,   20.78532,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8854087.00000,   -0.00781, -0.11460,   1.30630, -0.32517, 1.18593,  -0.14200,     0.01424, 0.14579,   -0.30379, 0.75239, 1.22417,  0.08281,       16.35179, 60.00000, 0.15253,           0.19121, 0.72533,   20.88371,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8864004.00000,   -0.00939, -0.18797,   1.52015, -0.46192, 2.78404,  -0.20072,     0.01681, 0.30871,   -0.19747, 0.81554, 2.02243,  0.03557,       16.47827, 60.00000, 0.14676,           0.19691, 0.89653,   19.86425,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8874088.00000,   -0.01048, -0.06210,   2.21153, -0.53912, 2.29566,  -0.17851,     0.01908, 0.19735,   0.37757, 0.81061, 1.61259,  -0.01640,       16.52771, 60.00000, 0.14833,           0.20371, 0.82508,   20.22467,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8884088.00000,   -0.01102, -0.10324,   0.79532, -0.62326, 1.91725,  -0.08165,     0.02063, 0.16334,   -0.14340, 0.80510, 1.22339,  0.06054,       16.54947, 60.00000, 0.15751,           0.21055, 0.62794,   21.27795,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8894005.00000,   -0.01178, -0.09346,   1.83606, -0.75515, 1.55511,  -0.26740,     0.02159, 0.09275,   -0.07933, 0.83359, 1.41392,  0.00807,       16.64871, 60.00000, 0.13292,           0.21852, 0.78584,   20.32329,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8904005.00000,   -0.01249, -0.09030,   0.88162, -0.83543, -0.90935,  -0.00727,            0.02200, 0.09713,   -0.12655, 0.84770, 1.37287,  0.10291,       16.77492, 60.00000, 0.13236,           0.22365, 0.74209,   20.52210,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8914006.00000,   -0.01327, -0.04190,   0.76907, -0.87352, 1.37385,  -0.17461,     0.02221, -0.07995,   -0.67677, 0.91132, 1.63152,  0.06141,      16.85178, 60.00000, 0.14119,           0.22926, 0.77146,   20.31055,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8924090.00000,   -0.01345, -0.01552,   1.14699, -0.92422, -1.56109,  -0.12617,            0.02135, -0.02212,   -0.08744, 0.91642, 1.14656,  0.03555,      16.92974, 60.00000, 0.12454,           0.23302, 0.67262,   20.84382,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8934066.00000,   -0.01329, -0.01576,   0.49676, -1.04513, -1.37072,  -0.14986,            0.02083, -0.00224,   -0.91860, 0.95417, -1.17609,  0.07635,     17.31055, 60.00000, 0.12535,           0.23620, 0.53810,   21.58362,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8944088.00000,   -0.01352, 0.00659,   1.12577, -1.13316, -0.99704,  -0.08510,     0.02054, -0.05593,   -0.10828, 0.96238, 1.34364,  0.01770,      17.62181, 60.00000, 0.11761,           0.24082, 0.43414,   22.13871,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8954172.00000,   -0.01300, 0.09344,   0.38941, -1.15655, -1.31448,  -0.16719,     0.01974, -0.10706,   -0.74607, 0.96971, -1.22452,  0.09179,     17.77105, 60.00000, 0.12352,           0.24465, 0.30163,   22.86042,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8964172.00000,   -0.01200, 0.16667,   0.96681, -1.24120, -1.48834,  -0.17773,     0.01883, -0.03874,   -0.65909, 0.99862, -1.28969,  0.03131,     18.10368, 60.00000, 0.10057,           0.24705, 0.27508,   22.99433,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8974172.00000,   -0.01053, 0.13813,   0.33936, -1.30079, -1.07794,  -0.14200,     0.01865, 0.03972,   -0.83732, 1.00160, -1.73074,  0.04570,      18.48531, 60.00000, 0.11390,           0.24960, 0.22033,   23.28361,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8984087.00000,   -0.00885, 0.20739,   1.74390, -1.41871, 1.84858,  -0.06576,      0.01959, 0.09369,   -0.62447, 1.00449, -1.84364,  0.01941,      19.04615, 60.00000, 0.09745,           0.25248, 0.29480,   22.84547,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
8994172.00000,   -0.00711, 0.15557,   0.71729, -1.45210, 1.51539,  -0.15488,      0.02007, -0.02384,   -0.99765, 1.01784, -1.92290,  0.02975,     19.43563, 60.00000, 0.10128,           0.25564, 0.18248,   23.45271,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9004173.00000,   -0.00617, 0.05452,   1.45440, -1.50217, 1.47733,  -0.08398,      0.02030, 0.00469,   -0.39590, 1.01147, -1.43315,  -0.00898,     19.63462, 60.00000, 0.09433,           0.25955, 0.23818,   23.10665,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9014173.00000,   -0.00573, 0.01105,   0.85684, -1.55053, 1.29523,  -0.09102,      0.02050, 0.03310,   -0.47272, 0.98532, -1.28456,  0.01973,      20.06190, 60.00000, 0.09283,           0.26305, 0.28448,   22.80976,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9024173.00000,   -0.00586, -0.01123,   1.16267, -1.60228, 1.59321,  -0.06719,     0.02102, 0.02603,   -0.12306, 0.98003, 1.19659,  0.00078,       20.46677, 60.00000, 0.09191,           0.26881, 0.36124,   22.32732,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9034103.00000,   -0.00570, 0.08866,   1.30167, -1.66855, 1.42777,  -0.01090,      0.02197, 0.25026,   0.01791, 0.96559, 1.11051,  0.04449,        21.10777, 60.00000, 0.08784,           0.27626, 0.45055,   21.75961,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9044187.00000,   -0.00460, 0.17222,   0.83303, -1.66233, 2.92413,  -0.07578,      0.02514, 0.40422,   -0.59087, 0.96138, -1.45895,  0.01231,      21.31507, 60.00000, 0.08813,           0.28192, 0.44783,   21.72685,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9054103.00000,   -0.00327, 0.12717,   1.39119, -1.70777, 2.71317,  0.00492,       0.02825, 0.32307,   -0.58818, 0.94992, -1.64027,  0.02332,      21.96297, 60.00000, 0.08212,           0.28756, 0.46456,   21.58994,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9064129.00000,   -0.00248, 0.00469,   1.02845, -1.74723, 2.55381,  -0.16853,      0.03058, 0.16435,   -0.80115, 0.95201, -1.52803,  0.04502,      22.39779, 60.00000, 0.08560,           0.29305, 0.44782,   21.63909,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9074213.00000,   -0.00243, -0.00221,   0.91634, -1.76616, 1.75557,  0.04611,      0.03134, -0.03594,   -0.59537, 0.95814, -1.05336,  0.05254,     22.82568, 60.00000, 0.07473,           0.29684, 0.35261,   22.14860,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9084213.00000,   -0.00257, 0.01290,   1.17723, -1.77512, 1.47514,  -0.07538,      0.03125, -0.07531,   -0.15726, 0.95751, 1.21683,  0.02988,      23.04798, 60.00000, 0.07883,           0.30130, 0.36771,   22.02796,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9094128.00000,   -0.00238, 0.01919,   -0.03989, -1.80551, -1.32880,  -0.02484,            0.03043, -0.05767,   -0.26994, 0.93993, -1.11119,  0.06160,     23.72623, 60.00000, 0.07161,           0.30580, 0.36450,   22.00484,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9104214.00000,   -0.00242, -0.03125,   0.29259, -1.81795, -0.96298,  0.01719,     0.02994, -0.06778,   -0.61672, 0.94646, -0.98612,  0.03326,     24.17756, 60.00000, 0.07596,           0.31119, 0.36105,   21.98208,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9114214.00000,   -0.00240, 0.03234,   0.29397, -1.81997, -1.34624,  -0.01601,     0.02898, -0.11796,   -0.70970, 0.94652, -1.01232,  0.08340,     24.42042, 60.00000, 0.06496,           0.31562, 0.18158,   22.96880,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9124214.00000,   -0.00184, 0.08969,   0.14913, -1.82717, -1.53166,  -0.01562,     0.02758, -0.18258,   -0.60167, 0.96145, -1.27747,  0.02350,     24.86470, 60.00000, 0.06511,           0.31755, -0.04109,   24.22024,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9134214.00000,   -0.00140, 0.00198,   0.01603, -1.83296, -1.50148,  -0.05530,     0.02631, -0.08398,   -0.96067, 0.96950, -1.24628,  0.04626,     25.30920, 60.00000, 0.06682,           0.32223, 0.22237,   22.68404,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9144130.00000,   -0.00144, 0.00620,   0.19471, -1.84409, -1.17260,  0.08500,      0.02548, -0.11684,   -0.42603, 0.99153, 1.09105,  0.05297,      25.98248, 60.00000, 0.06098,           0.32788, 0.46687,   21.24347,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9154130.00000,   -0.00154, -0.04560,   0.17277, -1.82817, -1.21066,  0.04047,     0.02459, -0.09708,   -0.68065, 0.99683, -1.00668,  0.04303,     26.44912, 60.00000, 0.06046,           0.33497, 0.48702,   21.07222,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
9164129.00000,   -0.00181, -0.00057,   0.00098, -1.81070, -1.10510,  0.00990,     0.02393, -0.06334,   -0.11859, 0.99564, 1.20959,  0.06795,      26.90913, 60.00000, 0.05899,           0.34255, 0.42161,   21.38169,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
