6002521.00000, -0.00000, -0.00194,   0.17634, -0.98127, 0.00000,          0.00000, 0.00009,   0.02715, -0.27162, 0.00000,         69.16698, 60.00000, 0.00000,            0.14998, 0.01152, 0.14998,   23.93444, 1525,      3,3,3    
6012521.00000, -0.00002, -0.00035,   0.18409, -0.98512, 0.00000,          0.00000, 0.00046,   -0.00427, -0.26595, 0.00000,        69.17265, 60.00000, 0.00000,            -0.01000, 0.01031, 0.11193,   24.08111, 1527,      3,3,3    
6022521.00000, -0.00001, 0.00105,   0.22523, -0.98507, 0.00000,           0.00001, 0.00096,   0.01105, -0.26616, 0.00000,         69.18239, 60.00000, 0.00000,            -0.01000, 0.00819, 0.06822,   24.25347, 1529,      3,3,3    
6032521.00000, 0.00000, 0.00159,   0.17632, -0.98507, 0.00000,            0.00002, 0.00179,   0.03991, -0.26616, 0.00000,         69.18239, 60.00000, 0.00000,            -0.03000, 0.00524, 0.02139,   24.44140, 1532,      3,3,3    
6042521.00000, 0.00001, -0.00007,   0.21910, -0.98909, 0.00000,           0.00003, 0.00001,   0.04905, -0.26018, 0.00000,         69.17256, 60.00000, 0.00000,            -0.01000, 0.00161, -0.02374,   24.62675, 1534,      3,3,3    
6052521.00000, 0.00000, -0.00172,   0.19031, -0.98926, 0.00025,           0.00003, -0.00131,   0.06086, -0.25988, -0.00327,       69.15707, 60.00000, 0.00000,            -0.01000, -0.00036, -0.04344,   24.70951, 1536,      3,3,3    
6062521.00000, -0.00002, -0.00256,   0.18392, -0.98926, 0.00025,          0.00001, 0.00021,   0.06767, -0.25988, -0.00327,        69.15707, 60.00000, 0.00000,            0.00000, -0.00145, -0.05304,   24.75057, 1536,      3,3,3    
6072521.00000, -0.00002, 0.00219,   0.17704, -0.97552, 0.00025,           0.00000, -0.00132,   0.09028, -0.26765, -0.00327,       69.16684, 60.00000, 0.00000,            -0.01000, -0.00324, -0.07032,   24.82351, 1537,      3,3,3    
6082521.00000, -0.00000, 0.00211,   0.19041, -0.97535, 0.00025,           0.00001, 0.00096,   0.02958, -0.26795, -0.00327,        69.18234, 60.00000, 0.00000,            -0.03000, -0.00795, -0.12299,   25.04210, 1540,      3,3,3    
6092521.00000, 0.00002, 0.00138,   0.18261, -0.97518, 0.00025,            0.00002, 0.00127,   0.04009, -0.26825, -0.00327,        69.19783, 60.00000, 0.00000,            -0.04999, -0.01394, -0.18341,   25.29583, 1543,      3,3,3    
6102521.00000, 0.00003, 0.00142,   0.19001, -0.97531, 0.00246,            0.00003, 0.00016,   0.07805, -0.26816, 0.00356,         69.19208, 60.00000, 0.00000,            -0.03000, -0.01800, -0.21054,   25.41682, 1545,      3,3,3    
6112521.00000, 0.00003, -0.00054,   0.21212, -0.97539, 0.00246,           0.00003, -0.00026,   0.06663, -0.26773, 0.00356,        69.17261, 60.00000, 0.00000,            -0.03000, -0.02169, -0.22991,   25.50718, 1546,      3,3,3    
6122521.00000, 0.00002, -0.00150,   0.24070, -0.98127, 0.00246,           0.00002, -0.00060,   0.15077, -0.27162, 0.00356,        69.16698, 60.00000, 0.00000,            -0.01000, -0.02118, -0.19226,   25.36564, 1544,      3,3,3    
6132521.00000, 0.00001, -0.00178,   0.23342, -0.98123, 0.00246,           0.00002, -0.00051,   -0.01071, -0.27184, 0.00356,       69.17670, 60.00000, 0.00000,            -0.03000, -0.02423, -0.20654,   25.43383, 1545,      3,3,3    
6142521.00000, -0.00001, -0.00195,   0.14934, -0.98491, 0.00246,          0.00001, -0.00041,   -0.01022, -0.26646, 0.00356,       69.19787, 60.00000, 0.00000,            -0.03000, -0.02693, -0.21537,   25.48011, 1546,      3,3,3    
6152521.00000, -0.00003, -0.00092,   0.15437, -0.97911, 0.00132,          0.00001, 0.00026,   0.01094, -0.26270, -0.00458,        69.20748, 60.00000, 0.00000,            -0.03000, -0.02931, -0.22043,   25.51097, 1546,      3,3,3    
6162521.00000, -0.00004, -0.00086,   0.14477, -0.97915, 0.00132,          0.00001, 0.00047,   0.05873, -0.26249, -0.00458,        69.19775, 60.00000, 0.00000,            -0.03000, -0.03138, -0.22057,   25.52202, 1546,      3,3,3    
6172521.00000, -0.00008, -0.00305,   0.18589, -0.96959, 0.00132,          0.00004, 0.00244,   0.09435, -0.26397, -0.00458,        69.18221, 60.00000, 0.00000,            -0.03000, -0.03313, -0.21635,   25.51544, 1546,      3,3,3    
6182521.00000, -0.00009, -0.00000,   0.24033, -0.97548, 0.00132,          0.00006, 0.00101,   0.07691, -0.26786, -0.00458,        69.17658, 60.00000, 0.00000,            -0.03000, -0.03459, -0.20990,   25.49911, 1546,      3,3,3    
6192521.00000, -0.00007, 0.00748,   0.25624, -0.97535, 0.00132,           0.00007, -0.00076,   0.03421, -0.26795, -0.00458,       69.18234, 60.00000, 0.00000,            -0.03000, -0.03575, -0.19896,   25.46464, 1546,      3,3,3    
6202521.00000, -0.00001, 0.00338,   0.20576, -0.98491, 0.00259,           0.00006, 0.00041,   0.00588, -0.26646, 0.01542,         69.19787, 60.00000, 0.00000,            -0.01000, -0.03510, -0.16438,   25.33345, 1544,      3,3,3    
6212521.00000, 0.00002, 0.00257,   0.11922, -0.97898, 0.00259,            0.00006, -0.00010,   0.04888, -0.26279, 0.01542,        69.21324, 60.00000, 0.00000,            -0.03000, -0.03426, -0.13249,   25.21127, 1542,      3,3,3    
6222521.00000, 0.00004, 0.00133,   0.16397, -0.97514, 0.00259,            0.00006, -0.00060,   0.08927, -0.26846, 0.01542,        69.20757, 60.00000, 0.00000,            -0.01000, -0.03174, -0.08323,   25.01652, 1540,      3,3,3    
6232521.00000, 0.00005, 0.00031,   0.15917, -0.97526, 0.00259,            0.00006, 0.00049,   0.08744, -0.26838, 0.01542,         69.20181, 60.00000, 0.00000,            -0.01000, -0.02915, -0.03907,   24.84022, 1537,      3,3,3    
6242521.00000, 0.00005, -0.00035,   0.24224, -0.97518, 0.00259,           0.00007, 0.00025,   0.07930, -0.26825, 0.01542,         69.19783, 60.00000, 0.00000,            -0.03000, -0.02962, -0.03854,   24.84076, 1537,      3,3,3    
6252521.00000, 0.00005, 0.00022,   0.29739, -0.97526, 0.00259,            0.00007, 0.00033,   0.02732, -0.26838, 0.01542,         69.20181, 60.00000, 0.00000,            -0.01000, -0.02848, -0.01736,   24.75682, 1536,      3,3,3    
6262521.00000, 0.00005, 0.00044,   0.26166, -0.98089, 0.00224,            0.00007, -0.00035,   0.00810, -0.27244, 0.00158,        69.20770, 60.00000, 0.00000,            -0.01000, -0.02733, 0.00131,   24.68185, 1535,      3,3,3    
6272521.00000, 0.00005, 0.00041,   0.18271, -0.98469, 0.00224,            0.00006, -0.00059,   0.05411, -0.26698, 0.00158,        69.22311, 60.00000, 0.00000,            -0.03000, -0.02922, -0.02052,   24.77202, 1536,      3,3,3    
6282521.00000, 0.00005, -0.00011,   0.09166, -0.97497, 0.00224,           0.00006, -0.00018,   0.08411, -0.26876, 0.00158,        69.22307, 60.00000, 0.00000,            -0.03000, -0.02952, -0.02058,   24.77369, 1536,      3,3,3    
6292593.00000, 0.00005, -0.00080,   0.12575, -0.96541, 0.00224,           0.00006, -0.00037,   0.09979, -0.27025, 0.00158,        69.20753, 60.00000, 0.00000,            -0.03000, -0.02750, 0.00668,   24.66275, 1535,      3,3,3    
6302593.00000, 0.00004, 0.00020,   0.21100, -0.96541, 0.00224,            0.00006, -0.00071,   0.04302, -0.27025, 0.00158,        69.20753, 60.00000, 0.00000,            -0.03000, -0.02782, 0.00291,   24.67838, 1535,      3,3,3    
6312593.00000, 0.00005, 0.00080,   0.25075, -0.97514, -0.00263,           0.00005, -0.00041,   0.03709, -0.26846, 0.00138,        69.20757, 60.00000, 0.00000,            -0.01000, -0.02658, 0.02019,   24.60828, 1534,      3,3,3    
6322593.00000, 0.00006, 0.00041,   0.23808, -0.97509, -0.00263,           0.00005, -0.00005,   0.07783, -0.26868, 0.00138,        69.21730, 60.00000, 0.00000,            -0.03000, -0.02692, 0.01470,   24.63029, 1534,      3,3,3    
6332593.00000, 0.00006, 0.00031,   0.20506, -0.98081, -0.00263,           0.00005, 0.00028,   0.03770, -0.27287, 0.00138,         69.22717, 60.00000, 0.00000,            -0.03000, -0.02574, 0.02891,   24.57168, 1534,      3,3,3    
6342593.00000, 0.00008, 0.00689,   0.14454, -0.97099, -0.00263,           0.00004, -0.00287,   0.09839, -0.27452, 0.00138,        69.22314, 60.00000, 0.00000,            -0.03000, -0.02612, 0.02163,   24.60049, 1534,      3,3,3    
6352593.00000, 0.00013, 0.00262,   0.12176, -0.97112, -0.00263,           0.00003, -0.00078,   0.08465, -0.27444, 0.00138,        69.21738, 60.00000, 0.00000,            -0.01000, -0.02271, 0.06308,   24.42994, 1532,      3,3,3    
