0.09250, 0.22242,   0.37292, 1.28791, -1.72859,           0.15906, -0.03590,   -0.78016, 0.93493, -2.09587,       -12.48828, 10.00000, 0.08130,           0.43983, 0.45306, -0.05565,   22.30110, 1502,      3,3,3    
0.09475, 0.10222,   0.32184, 1.27309, -1.78962,           0.15869, 0.00071,   -1.08253, 1.05617, -1.25420,        -12.50233, 10.00000, 0.08033,           0.44981, 0.45231, -0.04830,   22.23382, 1501,      3,3,3    
0.09589, 0.13027,   0.49899, 1.26368, -1.82915,           0.15856, 0.00029,   -1.10984, 1.16277, -1.45441,        -12.51019, 10.00000, 0.08244,           0.43980, 0.45014, -0.06919,   22.48983, 1505,      3,3,3    
0.09708, 0.02991,   0.03546, 1.26827, -1.59217,           0.15852, -0.01419,   -1.00396, 1.26783, -0.81148,       -12.53112, 10.00000, 0.08028,           0.43978, 0.44855, -0.07214,   22.54548, 1506,      3,3,3    
0.09754, -0.03479,   0.45030, 1.26747, -1.04567,          0.15834, -0.08468,   -1.50583, 1.32421, -0.48618,       -12.53813, 10.00000, 0.08013,           0.43977, 0.44713, -0.08154,   22.66753, 1507,      3,3,3    
0.09758, -0.02711,   -0.05215, 1.26497, -1.30023,         0.15758, -0.04560,   -1.30015, 1.43002, -0.48158,       -12.53130, 10.00000, 0.07846,           0.44975, 0.44649, 0.01331,   21.66269, 1493,      3,3,3    
0.09783, 0.09292,   -0.11412, 1.26942, -1.38190,          0.15707, -0.05957,   -0.91361, 1.53506, -1.31372,       -12.52442, 10.00000, 0.07333,           0.44973, 0.44680, 0.11065,   20.61703, 1478,      3,3,3    
0.09875, 0.02273,   0.31876, 1.26308, -1.54442,           0.15654, -0.01774,   -0.98242, 1.60611, -0.78901,       -12.51758, 10.00000, 0.08053,           0.43972, 0.44717, 0.19860,   19.67091, 1464,      3,3,3    
0.09945, 0.10944,   0.00440, 1.26970, -0.89193,           0.15601, -0.13873,   -0.74119, 1.66868, -1.56154,       -12.48978, 10.00000, 0.07585,           0.43971, 0.44877, 0.18430,   19.79976, 1466,      3,3,3    
0.10131, 0.11902,   0.01116, 1.25556, -1.48465,           0.15497, -0.04749,   -0.51704, 1.73353, -1.51024,       -12.47606, 10.00000, 0.07252,           0.43969, 0.44925, 0.05836,   21.13930, 1486,      3,3,3    
0.10274, 0.24593,   -0.06556, 1.25592, -1.27840,          0.15400, -0.10740,   -0.71592, 1.80375, -2.47005,       -12.44756, 10.00000, 0.07542,           0.43968, 0.44775, -0.08389,   22.68327, 1508,      3,3,3    
0.10473, 0.06615,   0.04441, 1.28414, -1.47217,           0.15317, -0.03593,   -0.88502, 1.87100, -1.17494,       -12.42648, 10.00000, 0.07504,           0.43965, 0.44398, -0.12074,   23.13420, 1514,      3,3,3    
0.10568, 0.11941,   -0.02009, 1.29676, -0.93852,          0.15258, -0.13052,   -0.59684, 1.92588, -1.68470,       -12.39161, 10.00000, 0.07216,           0.41966, 0.44097, -0.14801,   23.47127, 1519,      3,3,3    
0.10637, 0.02004,   -0.02026, 1.27987, -1.53054,          0.15194, -0.01514,   -0.48079, 1.96981, -0.85426,       -12.34241, 10.00000, 0.06893,           0.43963, 0.43741, -0.28421,   24.98153, 1539,      3,3,3    
0.10640, -0.00633,   -0.24707, 1.28080, -1.27167,         0.15139, -0.04877,   -0.41113, 1.98365, -0.72880,       -12.29298, 10.00000, 0.06565,           0.43963, 0.43469, -0.39457,   26.20286, 1555,      3,3,3    
0.10695, 0.04129,   0.32914, 1.28926, -1.73478,           0.15116, 0.01290,   -0.60549, 2.00371, -0.96678,        -12.22956, 10.00000, 0.07378,           0.44961, 0.43218, -0.48813,   27.24140, 1569,      3,3,3    
0.10696, -0.02310,   0.15432, 1.29935, -1.32790,          0.15067, -0.03541,   -0.60978, 2.03776, -0.60581,       -12.18078, 10.00000, 0.07275,           0.43961, 0.42951, -0.35035,   25.80812, 1550,      3,3,3    
0.10677, -0.02130,   -0.01363, 1.30080, -1.48852,         0.15044, -0.01046,   -0.42662, 2.05858, -0.58202,       -12.11743, 10.00000, 0.07153,           0.43960, 0.42847, -0.21468,   24.37302, 1531,      3,3,3    
0.10650, -0.02146,   -0.09657, 1.31510, -1.15111,         0.14977, -0.06180,   -0.30329, 2.06399, -0.65467,       -12.08870, 10.00000, 0.07225,           0.43960, 0.42812, -0.19879,   24.20839, 1529,      3,3,3    
0.10631, -0.00726,   0.02461, 1.31622, -1.51873,          0.14946, -0.00732,   -0.31755, 2.07793, -0.67124,       -12.06087, 10.00000, 0.07071,           0.43959, 0.42908, -0.14857,   23.65685, 1521,      3,3,3    
0.10615, -0.00833,   -0.16745, 1.32987, -1.23147,         0.14887, -0.05078,   -0.19166, 2.07647, -0.72679,       -12.03983, 10.00000, 0.07401,           0.43959, 0.42782, -0.15534,   23.74815, 1522,      3,3,3    
0.10614, 0.00539,   -0.17966, 1.34983, -1.48623,          0.14860, -0.01385,   -0.14770, 2.06725, -0.76706,       -12.02494, 10.00000, 0.07174,           0.43959, 0.42664, -0.16844,   23.90608, 1525,      3,3,3    
0.10620, 0.00942,   0.32599, 1.34279, -1.67851,           0.14862, 0.01507,   -0.21404, 2.06799, -0.75343,        -12.01807, 10.00000, 0.07846,           0.43959, 0.42557, -0.16119,   23.84480, 1524,      3,3,3    
0.10615, -0.00220,   0.17324, 1.33592, -1.29596,          0.14811, -0.04102,   -0.21748, 2.06871, -0.75601,       -12.02511, 10.00000, 0.07736,           0.43959, 0.42635, -0.11585,   23.34817, 1517,      3,3,3    
0.10624, 0.01861,   0.08946, 1.33994, -1.53878,           0.14783, -0.00751,   0.05009, 2.04016, -0.84969,        -12.02505, 10.00000, 0.08153,           0.43960, 0.42807, -0.10393,   23.19463, 1515,      3,3,3    
0.10643, 0.02217,   -0.24738, 1.35100, -1.50470,          0.14779, -0.01358,   0.16282, 2.01087, -0.88407,        -12.03187, 10.00000, 0.07434,           0.43961, 0.42862, -0.14485,   23.62399, 1521,      3,3,3    
0.10656, 0.01637,   -0.03672, 1.36206, -1.27781,          0.14720, -0.04675,   0.08171, 1.98157, -0.89491,        -12.03869, 10.00000, 0.07809,           0.41963, 0.42550, -0.26136,   24.91703, 1538,      3,3,3    
0.10679, 0.01497,   0.10967, 1.36608, -1.47399,           0.14689, -0.01562,   -0.04610, 1.95302, -0.84352,       -12.03864, 10.00000, 0.07968,           0.41964, 0.42208, -0.26556,   25.01370, 1540,      3,3,3    
0.10686, 0.01951,   0.10990, 1.37027, -1.22266,           0.14615, -0.05461,   0.20775, 1.92453, -0.93204,        -12.05324, 10.00000, 0.07974,           0.43963, 0.42120, -0.21792,   24.51751, 1533,      3,3,3    
0.10708, 0.02815,   0.06486, 1.36068, -1.49121,           0.14581, -0.01441,   0.17862, 1.89742, -0.93443,        -12.08116, 10.00000, 0.08289,           0.41965, 0.41880, -0.26969,   25.10740, 1541,      3,3,3    
0.10721, 0.01309,   0.07792, 1.35810, -1.25747,           0.14521, -0.04664,   0.10180, 1.86956, -0.88108,        -12.11596, 10.00000, 0.08405,           0.41966, 0.41637, -0.30199,   25.48948, 1546,      3,3,3    
0.10738, 0.02458,   0.18133, 1.34662, -1.56485,           0.14502, -0.00123,   0.14758, 1.82164, -0.89312,        -12.17941, 10.00000, 0.07961,           0.41967, 0.41403, -0.32532,   25.77423, 1550,      3,3,3    
0.10759, 0.00702,   0.22914, 1.34542, -1.05010,           0.14498, -0.07744,   0.17611, 1.80778, -0.88711,        -12.20798, 10.00000, 0.08774,           0.41968, 0.41189, -0.32986,   25.85518, 1551,      3,3,3    
0.10762, 0.01155,   -0.08361, 1.34239, -1.15192,          0.14399, -0.06129,   0.14475, 1.77302, -0.89500,        -12.27829, 10.00000, 0.08529,           0.41968, 0.41014, -0.31357,   25.70734, 1549,      3,3,3    
0.10780, 0.02209,   -0.03645, 1.34020, -1.49046,          0.14371, -0.01065,   0.18810, 1.74522, -0.89170,        -12.36250, 10.00000, 0.09169,           0.41969, 0.40875, -0.31659,   25.76067, 1550,      3,3,3    
0.10805, 0.02801,   0.14644, 1.33740, -1.60416,           0.14371, 0.00560,   0.25422, 1.71051, -0.90691,         -12.46833, 10.00000, 0.09466,           0.41970, 0.40738, -0.34308,   26.06460, 1554,      3,3,3    
0.10809, -0.10622,   -0.03928, 1.34232, -0.86765,         0.14359, -0.07865,   -0.03854, 1.68193, -0.12767,       -12.58028, 10.00000, 0.09781,           0.41970, 0.40767, -0.26789,   25.25610, 1543,      3,3,3    
0.10685, -0.07363,   -0.18858, 1.36192, -1.27100,         0.14316, -0.02198,   -0.10550, 1.65880, -0.24816,       -12.69983, 10.00000, 0.09739,           0.40971, 0.40692, -0.12917,   23.78391, 1523,      3,3,3    
0.10588, -0.16652,   -0.11068, 1.35620, -0.09336,         0.14174, -0.18234,   -0.25687, 1.65959, 0.13993,        -12.84045, 10.00000, 0.09827,           0.41971, 0.40980, 0.04070,   21.92391, 1497,      3,3,3    
0.10481, -0.03924,   0.26552, 1.33507, -1.20846,          0.14064, -0.03542,   -0.12919, 1.64812, -0.47944,       -12.98894, 10.00000, 0.10538,           0.41971, 0.41225, 0.18754,   20.31647, 1474,      3,3,3    
